Task ID,Task Name,Tier,Effort (eng-days),Duration (cal days),Dependencies,Staff Assignment,GPU Requirements,Start Week,End Week,Notes
W1.1,Work Breakdown Spreadsheet,Planning,3,3,,Senior Engineer 1,,1,1,Reconcile timeline/effort/staffing arithmetic
W1.2,Traceability Matrix,Planning,3,3,W1.1,Senior Engineer 1,,1,1,LaTeX → implementation → test mapping
W1.3,NAS Scope Decision,Planning,1,1,W1.1,Senior Engineer 1,,1,1,Document moderate architecture-coordinate scope
W2.1,Searcher Contract Tests,Tier 0,1,1,W1.3,Senior Engineer 1,,2,2,"GP+qLogEI conformance, mutation ≥0.9"
W2.2,Scheduler Contract Tests,Tier 0,1,1,W1.3,Senior Engineer 1,,2,2,"ASHA conformance, mutation ≥0.9"
W2.3,Executor Contract Tests,Tier 0,1,1,W1.3,Senior Engineer 1,,2,2,Local/Ray executors + failure modes
W2.4,Store Recovery Tests,Tier 0,1,1,W1.3,Senior Engineer 2,,2,2,"Crash-safe writes, kill -9 survival"
W2.5,Checkpoint Resume Tests,Tier 0,1,1,W1.3,Senior Engineer 2,,2,2,Deterministic resume validation
W2.6,V04 Tier-1 Investigation,Tier 0,2,2,"W2.1,W2.2",Senior Engineer 2,,2,2,Diagnose GP floor violation or test bug
W3.1,V16 Validator Audit,Tier 0,2,2,W2.6,Senior Engineer 1,,3,3,Add audit mode to all validators
W3.2,V01 Vendor Parity Fix,Tier 0,1,1,W3.1,Senior Engineer 2,,3,3,Compare vs BoTorch/Optuna not internal
W3.3,V02 State Replay Fix,Tier 0,3,3,W3.1,Senior Engineer 1,,3,3,Deterministic save/load/replay
W3.4,V03 Mutation Testing,Tier 0,3,3,W3.1,Senior Engineer 2,,3,3,"mutmut, target ≥0.9 score"
W3.5,V04-T0 Re-run,Tier 0,2,2,"W3.2,W3.3",Senior Engineer 1,,3,3,"Fixed 5% threshold, correct impl"
W3.6,V05 Re-run,Tier 0,1,1,W3.5,Senior Engineer 2,,3,3,Real rl_routine workload
W3.7,V14 Re-run,Tier 0,0.5,1,W3.5,Senior Engineer 1,,3,3,Non-zero trial budgets
W3.8,Test Repair,Tier 0,2,2,W3.1,Senior Engineer 2,,3,3,Fix 6 broken R1 tests
W3.9,Tier 0 Gate Report,Tier 0,1,1,"W3.5,W3.6,W3.7",Senior Engineer 1,,3,3,"Honest verdict, no shortcuts"
T0.1,GP+qLogEI Baseline,Tier 0,3,3,W3.9,Senior Engineer 1,,4,4,"BoTorch-based, qLogEI acquisition"
T0.2,LocalExecutor,Tier 0,1,1,W3.9,Senior Engineer 2,,4,4,Sync/async modes + error handling
T0.3,RayExecutor,Tier 0,2,2,T0.2,Senior Engineer 2,,4,4,Distributed execution + fault tolerance
T0.4,rl_routine Workload,Tier 0,1,1,W3.9,Senior Engineer 1,,4,4,9-knob Brax Ant search space
T0.5,Random Baseline,Tier 0,0.5,1,W3.9,Senior Engineer 1,,4,4,Uniform random sampling
T0.6,Sobol Baseline,Tier 0,0.5,1,W3.9,Senior Engineer 1,,4,4,Quasi-random low-discrepancy
W4.1,BUILD_PROGRAM_v3 Amendment,Planning,2,2,"T0.1,T0.2,T0.3,T0.4,T0.5,T0.6",Senior Engineer 1,,4,4,Reflect traceability/spec corrections
W4.2,Tier 0 Final Gate,Tier 0,1,1,W4.1,Senior Engineer 1,,4,4,All validation protocols pass
